Model,Accuracy,F1-Score
Neural Network,0.373015873015873,0.3598918140352291
Naive Bayes,0.36507936507936506,0.36054508680950126
Random Forest,0.31746031746031744,0.29746791106912424
Q-Learning,0.2873,0.252
