timestamp,run_id,sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,action,distance_to_goal
0,0,1,1,1,3,1,2,3,3,7,16.0
1,0,5,6,1,4,4,5,8,2,0,15.033296378372908
2,0,4,2,7,1,5,2,2,3,7,14.035668847618199
3,0,12,5,8,2,5,1,1,2,0,13.152946437965905
4,0,11,6,3,3,6,1,2,7,0,12.165525060596439
5,0,10,1,3,9,7,5,2,1,0,11.180339887498949
6,0,9,2,1,10,8,2,1,7,0,10.198039027185569
7,0,8,9,2,1,9,1,4,4,0,9.219544457292887
8,0,7,7,2,3,10,7,5,1,0,8.246211251235321
9,0,6,3,6,2,11,3,1,3,0,7.280109889280518
10,0,5,7,6,2,12,1,7,7,0,6.324555320336759
11,0,4,6,5,8,13,4,3,6,0,5.385164807134504
12,0,3,5,3,5,14,5,3,5,0,4.47213595499958
13,0,2,4,9,5,15,5,7,3,0,3.605551275463989
14,0,1,3,5,6,16,3,7,2,1,2.8284271247461903
15,0,1,2,6,4,9,4,1,2,1,1.4142135623730951
16,1,1,1,1,2,5,2,10,1,6,22.67156809750927
17,1,1,1,2,2,8,8,9,1,5,21.93171219946131
18,1,2,2,4,3,1,7,4,2,5,20.518284528683193
19,1,3,3,1,3,9,6,5,3,5,19.1049731745428
20,1,4,4,6,6,17,5,2,2,5,17.69180601295413
21,1,5,5,6,4,6,4,1,1,5,16.278820596099706
22,1,1,6,6,5,5,3,2,1,5,14.866068747318506
23,1,2,7,7,8,2,2,5,1,5,13.45362404707371
24,1,2,8,10,1,10,1,4,2,4,12.041594578792296
25,1,3,6,1,1,9,2,1,4,5,11.40175425099138
26,1,1,7,2,11,8,1,1,1,4,10.0
27,1,2,2,3,2,7,3,1,1,5,9.433981132056603
28,1,1,3,7,9,8,2,5,1,6,8.06225774829855
29,1,1,1,8,4,9,3,4,1,6,7.211102550927978
30,1,1,1,9,9,2,3,3,1,6,6.4031242374328485
31,1,1,1,10,9,7,3,2,1,6,5.656854249492381
32,1,1,1,11,2,3,5,1,1,5,5.0
33,1,1,2,8,3,2,4,4,2,5,3.605551275463989
34,1,3,3,4,1,1,3,3,2,5,2.23606797749979
35,1,4,4,1,2,5,2,2,2,4,1.0
36,2,1,2,2,2,1,2,3,6,7,11.40175425099138
37,2,7,1,1,1,4,2,2,5,0,11.313708498984761
38,2,6,2,1,1,5,2,5,2,0,10.63014581273465
39,2,5,4,5,1,6,2,4,4,1,10.0
40,2,9,3,1,2,2,3,3,10,1,8.602325267042627
41,2,5,2,6,1,1,4,8,5,2,7.211102550927978
42,2,2,1,5,1,1,1,9,3,2,6.4031242374328485
43,2,1,5,4,1,1,1,10,9,1,5.656854249492381
44,2,5,4,4,3,2,2,1,1,1,4.242640687119285
45,2,1,3,3,2,5,3,2,7,1,2.8284271247461903
